Size;Selection - Random 0-5;Selection - Random 0-4100;Selection - Almost sorted;Selection - Reverse sorted;Bubble - Random 0-5;Bubble - Random 0-4100;Bubble - Almost sorted;Bubble - Reverse sorted;Bubble 1 Iverson's condition - Random 0-5;Bubble 1 Iverson's condition - Random 0-4100;Bubble 1 Iverson's condition - Almost sorted;Bubble 1 Iverson's condition - Reverse sorted;Bubble 1 + 2 Iverson's conditions - Random 0-5;Bubble 1 + 2 Iverson's conditions - Random 0-4100;Bubble 1 + 2 Iverson's conditions - Almost sorted;Bubble 1 + 2 Iverson's conditions - Reverse sorted;Insertion - Random 0-5;Insertion - Random 0-4100;Insertion - Almost sorted;Insertion - Reverse sorted;Binary insertion - Random 0-5;Binary insertion - Random 0-4100;Binary insertion - Almost sorted;Binary insertion - Reverse sorted;Count - Random 0-5;Count - Random 0-4100;Count - Almost sorted;Count - Reverse sorted;Radix - Random 0-5;Radix - Random 0-4100;Radix - Almost sorted;Radix - Reverse sorted;Merge - Random 0-5;Merge - Random 0-4100;Merge - Almost sorted;Merge - Reverse sorted;Quick - Random 0-5;Quick - Random 0-4100;Quick - Almost sorted;Quick - Reverse sorted;Heap - Random 0-5;Heap - Random 0-4100;Heap - Almost sorted;Heap - Reverse sorted;Shell (Ciura sequence) - Random 0-5;Shell (Ciura sequence) - Random 0-4100;Shell (Ciura sequence) - Almost sorted;Shell (Ciura sequence) - Reverse sorted;Shell (Shell sequence) - Random 0-5;Shell (Shell sequence) - Random 0-4100;Shell (Shell sequence) - Almost sorted;Shell (Shell sequence) - Reverse sorted;
1100;1123328;1102492;1104226;1069131;1781901;2103145;1495153;2393701;2009086;2155209;1468227;2404146;1890328;2264530;1510408;2358887;599588;628631;289191;1231875;479430;595220;288530;1110657;30161;29893;30717;29044;35993;100552;100382;98699;106397;157174;151803;82843;215635;68041;76006;1366489;117851;143691;130413;130352;41858;96327;88658;32835;43115;114798;97946;40204;
1200;1284125;1328859;1304063;1224999;1962992;2203327;1703576;2692947;2311023;2636718;1867703;3032276;2187444;2361253;1835373;2796211;569557;666103;323662;1352098;556816;666391;327799;1177276;26411;26541;26449;26350;42837;99947;103107;106325;102006;118221;101583;81168;252249;73220;71070;1543184;132164;154186;145161;143146;39376;113499;102073;35650;56545;127151;113649;47290;
1300;1526938;1517364;1495715;1443645;2304291;2694555;1939265;3143135;2397976;2755315;2003746;3081800;2492829;2811929;2075052;3179219;671742;804070;366885;1624609;673792;791353;377269;1421154;28049;27999;27595;27803;43053;109428;116883;113755;122475;139386;112384;93843;288820;79708;80747;1771603;140196;179261;156458;156655;44303;122789;109855;43699;55373;137974;127853;53208;
1400;1711351;1819493;1749370;1656729;2689334;3004233;2252754;3644039;2759839;3203503;2295991;3634529;2974222;3689402;2816162;4198545;793345;941794;432732;1833731;731951;924648;417691;1665025;33623;27321;27214;27024;42833;125677;124327;125357;121953;146859;123096;100676;341560;104352;102618;2118845;151093;198943;180648;172242;51129;127818;118634;42941;63134;147490;129183;55883;
1500;1959051;2017329;1983815;1958387;3056810;3428822;2588619;4239378;3130252;3683553;2742664;4176469;3330040;3696022;2748160;4255469;870468;1075600;493948;2162581;817818;1037875;472779;1931380;29766;29405;30674;29336;47907;134639;131483;133775;135579;164371;137489;113591;367376;94565;87365;2386725;170486;202364;190349;184445;50138;141599;133685;49731;60463;160684;140493;57764;
1600;2222327;2310903;2301088;2217404;3470745;3909832;3035599;5310430;4146567;4599085;3045198;4743696;3746612;4263004;3073019;4868014;1024714;1262569;525467;2428397;945661;1177529;534140;2192230;30265;30026;30796;30388;53465;146332;146163;159224;163677;181534;150737;117471;441289;110497;119932;2732168;183701;230101;193614;197851;54320;156675;138668;49343;89592;191246;157617;63311;
1700;2553751;2609260;2553001;2473879;4075443;4419016;3278985;5456192;4048909;4722171;3399691;5397498;4246999;4825843;3679760;6150996;1279968;1472324;646229;2814247;1051295;1303945;581776;2446015;29544;29440;29080;29356;60138;150000;153667;149437;156687;184221;148867;126540;479203;112527;115686;3034101;184947;252237;228698;209893;59933;163550;152477;56539;69492;181744;159623;65644;
1800;2881579;2997965;2849112;2817479;4610228;5067256;3767264;6267743;4763220;5281305;3963196;6230833;4919839;5499305;4216102;6324514;1351402;1599386;687212;3199053;1150856;1444898;643916;2904728;31634;32249;32985;32779;61202;166360;167032;184005;178658;203176;198048;158339;585995;121303;212518;3697053;205960;266313;255142;261136;71887;188034;190024;64142;93187;241997;216830;79342;
1900;3270363;3204176;3242700;3087863;4945243;5543322;4213503;6895060;5093236;5829949;4250712;6781464;5343919;5977510;4488448;6959637;1418168;1768794;729163;3424993;1301629;1613266;718577;3092509;35239;30651;30465;31230;65744;168651;165593;180460;198022;217769;173771;137209;603340;131198;136461;3845785;249631;287733;276876;268182;110579;204790;184357;67219;87058;275593;197776;85115;
2000;3981038;3912639;3959257;3478892;5506676;6062492;4587449;7649757;5691182;6445139;4792743;7550713;5898892;6662231;4964497;7558143;1588886;1941112;805343;3800461;1445340;1825136;784027;3401809;30550;30607;37994;30240;63365;172936;174926;178849;224549;254978;174487;141542;665854;133709;146968;4682177;261316;367709;322345;401612;83116;213778;201711;85803;95844;238292;208369;84863;
2100;4474780;3993702;3904679;3761347;6173132;6884155;5075295;8446515;6316658;7159109;5302170;8230714;6588332;7354808;5492621;8687882;1753178;2108399;954381;4929520;1781359;2123676;927501;3791034;32452;33118;32452;32813;70426;189664;182873;182381;198817;230713;182278;154372;718264;146242;128753;4748932;230162;303376;270033;274406;82490;228978;195641;69614;98370;266819;221190;87385;
2200;4228282;4338080;4344107;4146144;6819062;7441511;5555263;9483659;7041684;7834267;6038882;9249241;7158205;9148775;6540067;9426350;1946779;2345816;963684;4670620;1751894;2158879;942093;4136134;33257;33300;32832;33938;70619;197710;198416;195812;201159;253745;199186;157243;798644;151915;157289;5198251;254565;332556;297011;297040;89146;248673;216077;76108;106927;262805;223753;93737;
2300;4707855;4852459;4700905;4620542;7528203;8181424;6089264;10244219;7922342;9637286;6495667;9952942;8036584;8905780;6718395;10174354;2130204;2602292;1049201;5144140;1953001;2324250;1014708;4359145;33785;34389;40538;33048;75292;208235;204354;205283;222565;263093;208883;165085;921095;158331;144043;5680623;282150;341404;308675;324545;94438;268303;210970;77855;102416;261311;232203;109118;
2400;5209175;5143021;5184113;5833758;8983693;9187436;6662708;11189990;8630655;9672487;7136800;11078631;9024998;9962518;7580989;12419733;2634586;2987420;1222042;5848374;2079087;2601201;1128687;4877526;32549;33372;32719;32469;84654;209329;208855;221417;223280;268068;223386;172074;950860;164546;154972;6261894;271338;357896;324576;323048;93591;263915;230136;82948;128659;296422;258521;103166;
2500;5628164;5610230;5601080;5372981;8877911;9788115;7288770;12063358;9855367;11649319;7879344;11917450;9591140;10740964;8120734;12265302;2583929;3000021;1247809;6049988;2263191;2811047;1203177;5239405;33378;33983;34994;34031;84168;235717;234564;218719;228995;288128;228537;192251;1076685;175913;184433;7008663;313379;410811;380728;383180;159054;354398;292418;120569;156819;331151;290972;126426;
2600;7399673;6197218;6193947;5864371;9622981;10691253;7925785;13112268;10106498;11474800;8514712;13595782;11632791;11688084;8878885;13233086;2747692;3417466;1394718;6570043;2483941;3041806;1297396;5811447;33454;33589;38355;34743;81395;230621;249689;244967;243283;292077;240188;192784;1127864;194295;183790;7360491;306413;405826;364218;361924;104109;298887;262041;92242;124134;323782;287936;121219;
2700;6513658;6587066;6708246;7156426;10856947;11724638;8548167;16726229;11075935;12231771;9384376;13983739;12478495;14543940;9483697;14249159;2950162;3613938;1492946;7214746;2684741;3253567;1398063;6223334;34334;34716;35127;34264;95198;240863;242973;251812;271188;340943;363164;274113;1254914;192364;175605;8364261;319805;432006;380827;376239;110570;308236;273929;96776;133527;343332;319021;129305;
2800;7231007;7118568;7116206;8592589;13600001;12902067;9225301;15654067;12308414;13657547;9992455;15525355;15591993;14244356;10452573;16608582;3345979;4051858;1669734;8005419;2919657;3620577;1489212;6779929;38108;39456;38028;38073;97621;262232;261588;262118;354365;429727;373568;347637;1512119;219221;218493;8783969;339117;460212;425296;419960;124175;311903;279100;99134;144249;352699;330929;138633;
2900;7664237;10243110;8835874;7494671;12896446;14011701;9959585;16763435;13321643;14943523;12997754;18581846;13715563;15432925;11368871;17347158;3739131;4286633;1771363;8813534;3262314;3880185;1754051;9823017;47163;49276;47871;49069;123390;335043;424434;327177;502092;509727;352609;355288;1640190;231856;200977;9697908;365108;474955;423983;416255;126306;343346;302583;106721;148783;387794;367907;192508;
3000;11985030;9667455;9251691;9507250;14409361;20645694;18681800;24021602;16861531;21512746;16634916;22645341;22752137;19837883;14075554;24983728;4620326;6035775;2361092;12352590;6576920;12016538;2843515;17000292;79455;66363;83487;90513;213497;589946;677865;647970;733278;874960;803089;674008;2633738;473303;438476;21008260;599012;840346;736880;665107;192414;537610;501586;191972;246710;659913;581585;242976;
3100;15028105;13563822;14246580;13232294;23903433;28933964;18909450;29477943;20618105;23596641;18819718;28394059;21031797;23643110;17510494;25279254;6305431;6859320;2584722;13350866;4608275;5355985;2178422;10395691;47774;47560;47823;46815;124419;343395;382628;343158;406021;524613;413429;319970;1974498;274457;250111;13482538;464993;645149;549802;566295;161799;450193;448834;156133;199279;699914;500674;186810;
3200;10763277;11390409;10981480;11457857;20289960;20775548;16482487;23639200;18319197;23511791;14888041;21067560;17626181;19988214;14503125;24355609;4951120;5279665;2029860;10460223;3861278;4688737;1947462;8941069;37804;37956;37649;37741;108562;297728;297627;298292;322405;392971;319255;252213;1738203;237376;224390;11629751;435166;513871;470552;476417;143436;385200;344525;124383;199937;477401;408225;152221;
3300;10154313;10041428;10007274;10238428;19045310;19106068;13518152;22224174;17854774;20229991;15597025;21872272;18489054;20430739;15156716;23951038;5609571;5793779;2247969;11588847;4237744;5258418;2191966;9921155;41374;40212;39696;39967;117233;317310;324096;321471;346053;424695;341438;263917;1931896;257863;229107;12729405;438441;578227;508969;492889;151283;413931;370532;135841;178290;453563;399125;169257;
3400;11461678;11371593;11604790;14209368;18732380;20666552;14632103;24413364;19972606;24842632;16313029;24088927;20838867;22624822;20918093;24687084;5197972;6413774;2373407;12307662;4665756;5682646;2261465;10794799;42891;42865;42424;43057;124931;338383;341811;346425;378206;465323;371082;299328;2130276;268868;240753;13800856;551636;708222;779491;761590;216852;592782;527258;238422;254426;674362;567667;275428;
3500;14277477;12212072;12369000;11739955;20444999;22037809;16835856;29945447;21267703;22815912;16848625;27839253;24099140;24088519;17721482;25911585;5424949;6635146;3192040;15818671;4933978;6076460;2581494;11262757;41518;42723;42141;42120;126643;342769;342943;338049;363430;449752;371787;298774;2203381;282340;278201;14394931;453560;605033;539769;530276;167050;445303;396593;144639;178764;497792;446483;177167;
3600;12677619;13141710;12649745;14665630;24204398;23685063;16862799;27661227;26475799;24853697;18010227;27304787;23168311;29410317;18947529;27850361;5696793;6925943;2675191;13913383;5205854;6322352;3037986;15099553;46288;46781;46837;46198;137214;372565;374361;371036;413284;538824;491184;328218;2432635;300728;254962;15698651;483231;637808;574136;556253;170412;475676;418036;150463;213996;563809;499663;186165;
3700;13445749;13617496;13505513;13125567;25787454;25891227;17627282;29223817;29940592;36494083;22274628;30197057;26356539;32800578;21029935;40107342;7053874;8202191;2904278;22879974;6493074;7666949;2846502;16004548;67224;88649;98832;92092;218657;589444;580867;609409;1253375;993986;844626;531774;3585138;418729;343258;18806412;534982;700004;616422;587983;178644;596828;444392;160725;243619;733316;691553;287625;
3800;15292102;15144815;18291620;14131663;24986540;27032995;18836325;39672879;31210817;32750421;22508676;43210742;29031541;31918693;25898558;35507887;6611689;7890547;2846198;15331963;5672857;7118824;2674178;13553046;45026;46617;45496;44936;140447;378996;381736;382974;416174;539246;475325;383350;3287107;403905;366330;19936126;496345;667926;637729;605274;185354;512325;449389;160416;216428;556766;482531;200059;
3900;14969896;15127078;15084414;14641158;26839343;31308755;19655276;32717871;26981293;32765871;21406519;31986124;28265058;33355033;22627681;32445385;6716904;8323132;3039032;20597479;6010090;7575847;2824781;14207379;44720;45636;45226;44585;142461;388803;383416;382427;427351;516465;449374;443874;2799436;318135;275003;18228917;515064;699918;634665;605219;186126;519003;464535;170961;221300;573252;487405;209386;
4000;15730501;15942970;20076694;15463686;28218032;29611048;20703365;38423802;28545437;30997180;24793562;35404249;29802052;32196967;28513106;34252903;7035489;8693755;3128839;17274108;6327383;7704209;2936405;18331235;62845;73831;92275;79083;193369;504743;481162;462581;469929;667805;601160;476687;3071310;344495;302071;19121720;529229;720052;646737;628075;196744;549813;479106;172608;249610;601810;532155;214023;
4100;16574843;16780628;16496632;16010264;33466454;31268618;22262420;39288728;31037219;32685080;23836562;39682160;30887552;33669140;25691617;39441569;7396023;8965273;3277841;17864167;6687921;8176395;3014259;15858495;55538;59993;82462;70342;179592;503248;609455;626099;591437;752505;693833;526313;3935184;435427;429021;21539152;552121;808592;662428;641820;196757;548635;482885;171019;283729;861364;778480;213132;
